MEphisto Scope parameters
Amplitude Channel 1,1
Amplitude Channel 2,0.5
Offset Channel 1,-0
Offset Channel 2,-0
Probe Channel 1,1
Probe Channel 2,1
Sampling Rate,1E-006
Trigger Point [%],49.599998474
Trigger Channel,1
Trigger mode,Manual
Trigger Upper Level,-3.0518E-005
Trigger Lower Level,-3.0518E-005
Memory Depth,500
Start Time,System.DateTime (12/03/2021 15:28:50)

Data:
Time,Channel 1,Channel 2
-0,0.20700073,0.0026702879
1E-006,0.18861389,0.0029602049
2E-006,0.16818237,0.0041503904
3E-006,0.14807129,0.0059661863
4E-006,0.13330078,0.0078735349
5E-006,0.12657165,0.010437012
6E-006,0.12504578,0.012527466
7E-006,0.12216186,0.014770508
8E-006,0.12521362,0.016616821
9E-006,0.12704468,0.018676758
1E-005,0.13378906,0.02041626
1.1E-005,0.15307617,0.020248413
1.2E-005,0.17654419,0.019340515
1.3E-005,0.19392395,0.017303467
1.4E-005,0.20849609,0.015083313
1.5E-005,0.21556091,0.012619018
1.6E-005,0.22067261,0.010116577
1.7E-005,0.22213745,0.0076751707
1.8E-005,0.22201538,0.0049896238
1.9E-005,0.22189331,0.0026550291
2E-005,0.21937561,0.00035858133
2.1E-005,0.20700073,-0.0012664797
2.2E-005,0.18560791,-0.00069427511
2.3E-005,0.16273498,0.00029754618
2.4E-005,0.14402771,0.0018310545
2.5E-005,0.1338501,0.0035781858
2.6E-005,0.12724304,0.0053863523
2.7E-005,0.12078857,0.007545471
2.8E-005,0.11831665,0.0099487303
2.9E-005,0.11923218,0.011405945
3E-005,0.12081909,0.013725281
3.1E-005,0.12968445,0.015083313
3.2E-005,0.14653015,0.015220642
3.3E-005,0.165802,0.013923645
3.4E-005,0.18585205,0.012245178
3.5E-005,0.20315552,0.0095977781
3.6E-005,0.21170044,0.0070495603
3.7E-005,0.21328735,0.0046463011
3.8E-005,0.21554565,0.0021591184
3.9E-005,0.21813965,-0.0007171633
4E-005,0.21798706,-0.0032501223
4.1E-005,0.21411133,-0.0053863528
4.2E-005,0.20028686,-0.0070037844
4.3E-005,0.18112183,-0.0068206789
4.4E-005,0.16064453,-0.0065307619
4.5E-005,0.13858032,-0.0045623781
4.6E-005,0.12435913,-0.0027313235
4.7E-005,0.11923218,-0.0010070803
4.8E-005,0.11651611,0.00076293924
4.9E-005,0.11180115,0.0026321409
5E-005,0.1081543,0.0051650999
5.1E-005,0.11247253,0.0065917967
5.2E-005,0.12225342,0.0077819822
5.3E-005,0.13749695,0.0079193113
5.4E-005,0.15896606,0.0071029661
5.5E-005,0.17805481,0.0047149656
5.6E-005,0.19564819,0.0025863645
5.7E-005,0.20410156,-0.00032043478
5.8E-005,0.2064209,-0.0023880007
5.9E-005,0.20610046,-0.0048751833
6E-005,0.20768738,-0.007575989
6.1E-005,0.20817566,-0.010017395
6.2E-005,0.20602417,-0.012344361
6.3E-005,0.19320679,-0.014038086
6.4E-005,0.17379761,-0.014595032
6.5E-005,0.15197754,-0.014160156
6.6E-005,0.13343811,-0.012252808
6.7E-005,0.12110901,-0.011245728
6.8E-005,0.11289978,-0.0091400149
6.9E-005,0.1068573,-0.0074462893
7E-005,0.10403442,-0.0049591067
7.1E-005,0.10365295,-0.0034866335
7.2E-005,0.1060791,-0.0016860964
7.3E-005,0.10971069,-0.00036621115
7.4E-005,0.12356567,-1.5259E-005
7.5E-005,0.14489746,-0.00072479269
7.6E-005,0.16598511,-0.0025024416
7.7E-005,0.18496704,-0.0050659182
7.8E-005,0.19465637,-0.0081329348
7.9E-005,0.19633484,-0.010543823
8E-005,0.19992065,-0.013046265
8.1E-005,0.20132446,-0.015571594
8.2E-005,0.20019531,-0.017799378
8.3E-005,0.19735718,-0.020675659
8.4E-005,0.18444824,-0.022567749
8.5E-005,0.16668701,-0.023284912
8.6E-005,0.14663696,-0.022476197
8.7E-005,0.12458801,-0.021324158
8.8E-005,0.10946655,-0.018974304
8.9E-005,0.10191345,-0.017349243
9E-005,0.09928894,-0.015327454
9.1E-005,0.096679687,-0.013374329
9.2E-005,0.094726562,-0.01171875
9.3E-005,0.094970703,-0.0094833376
9.4E-005,0.10148621,-0.0079574587
9.5E-005,0.11630249,-0.0076904299
9.6E-005,0.13539123,-0.0086364748
9.7E-005,0.15386963,-0.0098495486
9.8E-005,0.17143249,-0.012847901
9.9E-005,0.1809082,-0.014770508
0.0001,0.18856811,-0.017440796
0.000101,0.1907959,-0.020523072
0.000102,0.18783569,-0.022621155
0.000103,0.19044495,-0.025215149
0.000104,0.19259644,-0.028404236
0.000105,0.18240356,-0.030136109
0.000106,0.16122436,-0.030990601
0.000107,0.13883972,-0.030342102
0.000108,0.11923218,-0.028770447
0.000109,0.10267639,-0.026687622
0.00011,0.094207763,-0.024833679
0.000111,0.087524414,-0.022323609
0.000112,0.084579467,-0.020362854
