MEphisto Scope parameters
Amplitude Channel 1,1
Amplitude Channel 2,0.5
Offset Channel 1,-0
Offset Channel 2,-0
Probe Channel 1,1
Probe Channel 2,1
Sampling Rate,1E-006
Trigger Point [%],50
Trigger Channel,1
Trigger mode,Manual
Trigger Upper Level,-3.0518E-005
Trigger Lower Level,-3.0518E-005
Memory Depth,1000
Start Time,System.DateTime (10/03/2021 13:33:59)

Data:
Time,Channel 1,Channel 2
-0,0.17282104,-0.043899536
1E-006,0.16680908,-0.054542542
2E-006,0.15585327,-0.036071778
3E-006,0.15481567,0.015449524
4E-006,0.16598511,0.056793213
5E-006,0.16529846,0.074813843
6E-006,0.16505432,0.09008789
7E-006,0.1706543,0.097671509
8E-006,0.17036438,0.096199035
9E-006,0.17044067,0.097320556
1E-005,0.171875,0.098358154
1.1E-005,0.17199707,0.097427368
1.2E-005,0.17630005,0.093345642
1.3E-005,0.18508911,0.075584411
1.4E-005,0.18945312,0.031761169
1.5E-005,0.18395996,-0.012832642
1.6E-005,0.1781311,-0.038986206
1.7E-005,0.17684936,-0.041389466
1.8E-005,0.17776489,-0.038909912
1.9E-005,0.17927551,-0.038345337
2E-005,0.17832947,-0.039886475
2.1E-005,0.17802429,-0.035461426
2.2E-005,0.18121338,-0.034439087
2.3E-005,0.17382812,-0.031623841
2.4E-005,0.16551208,-0.0021667483
2.5E-005,0.16513061,0.048477173
2.6E-005,0.17190552,0.097412109
2.7E-005,0.18139648,0.11758423
2.8E-005,0.18421936,0.10861206
2.9E-005,0.18167114,0.094711303
3E-005,0.17736816,0.094787597
3.1E-005,0.17637634,0.10943603
3.2E-005,0.18461609,0.11981201
3.3E-005,0.19137573,0.10283661
3.4E-005,0.193573,0.072494507
3.5E-005,0.19526672,0.03578186
3.6E-005,0.19345093,0.0004043577
3.7E-005,0.19091797,-0.025650025
3.8E-005,0.18806457,-0.038543701
3.9E-005,0.18447876,-0.035491944
4E-005,0.18814087,-0.023712158
4.1E-005,0.19039917,-0.024726868
4.2E-005,0.19094849,-0.033096314
4.3E-005,0.18640137,-0.039413452
4.4E-005,0.1794281,-0.024887085
4.5E-005,0.17623901,0.014907837
4.6E-005,0.17991638,0.057304382
4.7E-005,0.18247986,0.088478088
4.8E-005,0.18501282,0.11138153
4.9E-005,0.19067383,0.12284088
5E-005,0.19525146,0.11424255
5.1E-005,0.18844604,0.10162353
5.2E-005,0.186203,0.10771179
5.3E-005,0.19168091,0.11473083
5.4E-005,0.19529724,0.11329651
5.5E-005,0.20413208,0.095588684
5.6E-005,0.21066284,0.048377991
5.7E-005,0.20219421,-0.0017395022
5.8E-005,0.1962738,-0.023681641
5.9E-005,0.19694519,-0.025672913
6E-005,0.19859314,-0.026573181
6.1E-005,0.19689941,-0.028030396
6.2E-005,0.1960907,-0.023971558
6.3E-005,0.19908142,-0.018714905
6.4E-005,0.20077515,-0.024971009
6.5E-005,0.19218445,-0.027282715
6.6E-005,0.18130493,0.0050277708
6.7E-005,0.184021,0.063407898
6.8E-005,0.19300842,0.10473633
6.9E-005,0.1987915,0.11839294
7E-005,0.19979858,0.11415863
7.1E-005,0.19714355,0.10926819
7.2E-005,0.19621277,0.11624908
7.3E-005,0.19868469,0.12432861
7.4E-005,0.20201111,0.12445831
7.5E-005,0.20462036,0.11519623
7.6E-005,0.21304321,0.089645386
7.7E-005,0.21188354,0.050094604
7.8E-005,0.20951843,0.01927185
7.9E-005,0.21127319,-0.0069427492
8E-005,0.20578003,-0.029907227
8.1E-005,0.19953918,-0.025344849
8.2E-005,0.20471191,-0.010124207
8.3E-005,0.20986938,-0.013023377
8.4E-005,0.20700073,-0.025314331
8.5E-005,0.20346069,-0.027877808
8.6E-005,0.19894409,-0.013412476
8.7E-005,0.19586182,0.018783569
8.8E-005,0.19651794,0.056236267
8.9E-005,0.19906616,0.087234497
9E-005,0.19863892,0.11384582
9.1E-005,0.20628357,0.1313858
9.2E-005,0.21060181,0.12438202
9.3E-005,0.20523071,0.11220551
9.4E-005,0.20054626,0.1209259
9.5E-005,0.20632935,0.13605499
9.6E-005,0.21582031,0.131073
9.7E-005,0.2192688,0.10131836
9.8E-005,0.22219849,0.06048584
9.9E-005,0.22135925,0.015769958
0.0001,0.2124939,-0.011688233
0.000101,0.21250915,-0.015609741
0.000102,0.21409607,-0.017463684
0.000103,0.21311951,-0.024482727
0.000104,0.21018982,-0.021697998
0.000105,0.2109375,-0.013687134
0.000106,0.21617126,-0.011375427
0.000107,0.21063232,-0.016815186
0.000108,0.1990509,0.0064544676
0.000109,0.19725037,0.061721802
0.00011,0.2073822,0.10929108
0.000111,0.21414185,0.12300873
0.000112,0.21133423,0.12055969
0.000113,0.21139526,0.12120056
0.000114,0.21170044,0.12498474
0.000115,0.21240234,0.12800598
0.000116,0.21511841,0.12889862
0.000117,0.21679687,0.1228714
0.000118,0.22142029,0.11183929
0.000119,0.2297821,0.078956604
0.00012,0.22900391,0.030967712
0.000121,0.22311401,-0.0066604616
0.000122,0.21885681,-0.022720337
0.000123,0.21437073,-0.018730164
0.000124,0.2197113,-0.0075531008
0.000125,0.22392273,-0.014587403
0.000126,0.21936035,-0.02772522
0.000127,0.21585083,-0.024353028
0.000128,0.21295166,-0.0093002321
0.000129,0.20896912,0.020004272
0.00013,0.20767212,0.056793213
0.000131,0.2084198,0.094772339
0.000132,0.21153259,0.12929535
0.000133,0.22106934,0.14450073
0.000134,0.22494507,0.12992859
0.000135,0.21864319,0.11063385
0.000136,0.21098328,0.12097168
0.000137,0.21884155,0.14225769
0.000138,0.22834778,0.13777924
0.000139,0.23165894,0.10560608
0.00014,0.23083496,0.066711426
0.000141,0.22958374,0.035484314
0.000142,0.22943115,0.011161804
0.000143,0.22877502,-0.015548706
0.000144,0.2207489,-0.024719238
0.000145,0.22067261,-0.014167786
0.000146,0.22360229,-0.0026397707
0.000147,0.2275238,-0.0051269533
0.000148,0.22880554,-0.02142334
0.000149,0.21766663,-0.027694702
0.00015,0.20700073,0.0084457395
0.000151,0.21083069,0.065078735
0.000152,0.21896362,0.10377502
0.000153,0.21896362,0.11863708
0.000154,0.21981811,0.13246155
0.000155,0.22369385,0.13932037
0.000156,0.22605896,0.13572693
0.000157,0.22323608,0.12786865
0.000158,0.22131348,0.12974548
0.000159,0.2250824,0.13653564
0.00016,0.23666382,0.12537384
0.000161,0.24356079,0.076972961
0.000162,0.23587036,0.020980835
0.000163,0.22763061,-0.0072937014
0.000164,0.22634888,-0.0094757082
0.000165,0.22932434,-0.0075302126
0.000166,0.22848511,-0.012069702
0.000167,0.22702026,-0.012954712
0.000168,0.22836304,-0.013839722
0.000169,0.22702026,-0.015449524
0.00017,0.2232666,-0.0093460085
0.000171,0.21936035,0.013053894
0.000172,0.21464539,0.047386169
0.000173,0.21350098,0.090614319
0.000174,0.22189331,0.12859344
0.000175,0.22979736,0.13647461
0.000176,0.22903442,0.12393951
0.000177,0.22184753,0.11921692
0.000178,0.22167969,0.1333847
0.000179,0.22775269,0.14601135
0.00018,0.23468018,0.13684082
0.000181,0.23469543,0.11236572
0.000182,0.23751831,0.082267761
0.000183,0.24040222,0.043243408
0.000184,0.23855591,0.00019073465
0.000185,0.23074341,-0.027023316
0.000186,0.22312927,-0.023483277
0.000187,0.22953796,-0.0040054323
0.000188,0.2341156,-0.0020523073
0.000189,0.23339844,-0.018218994
0.00019,0.22854614,-0.024589539
0.000191,0.22517395,-0.015472412
0.000192,0.21627808,0.011650085
0.000193,0.21704102,0.061103821
0.000194,0.22268677,0.099105835
0.000195,0.22506714,0.11755371
0.000196,0.22683716,0.1280899
0.000197,0.22953796,0.12885284
0.000198,0.22784424,0.12210083
0.000199,0.22506714,0.12359619
0.0002,0.22619629,0.13214111
0.000201,0.23005676,0.13606262
0.000202,0.23841858,0.12471008
0.000203,0.24447632,0.084259033
0.000204,0.23971558,0.034027099
0.000205,0.23213196,0.0047531126
0.000206,0.23321533,-0.0045852663
0.000207,0.23294067,-0.015327454
0.000208,0.23069763,-0.020729065
0.000209,0.22827148,-0.017807007
0.00021,0.23257446,-0.014976502
0.000211,0.23294067,-0.020324707
0.000212,0.22715759,-0.024642945
0.000213,0.21560669,-0.0022735598
0.000214,0.21740723,0.047843933
0.000215,0.21815491,0.090644836
0.000216,0.22492981,0.12523651
0.000217,0.23059082,0.13499451
0.000218,0.2313385,0.12666321
0.000219,0.22624207,0.11802673
0.00022,0.22395325,0.12633514
0.000221,0.22758484,0.13617706
0.000222,0.2326355,0.13092041
0.000223,0.23709106,0.11210632
0.000224,0.2401123,0.07951355
0.000225,0.23930359,0.042144775
0.000226,0.23898315,0.0059356687
0.000227,0.2341156,-0.021789551
0.000228,0.22743225,-0.027786255
0.000229,0.22743225,-0.012413025
0.00023,0.23516846,-0.0083389284
0.000231,0.234375,-0.024055481
0.000232,0.22789001,-0.032844544
0.000233,0.22323608,-0.022262573
0.000234,0.21975708,0.0053329466
0.000235,0.21810913,0.043151855
0.000236,0.21957397,0.081069946
0.000237,0.22290039,0.11027527
0.000238,0.22579956,0.12401581
0.000239,0.22799683,0.13084412
0.00024,0.22848511,0.12822723
0.000241,0.22677612,0.12245178
0.000242,0.22439575,0.12446594
0.000243,0.22917175,0.12967682
0.000244,0.23562622,0.1163559
0.000245,0.2416687,0.079086303
0.000246,0.23803711,0.032119751
0.000247,0.2336731,0.00077056864
0.000248,0.23194885,-0.015060425
0.000249,0.22923279,-0.024345398
0.00025,0.22827148,-0.024284363
0.000251,0.22807312,-0.022697449
0.000252,0.22767639,-0.019866944
0.000253,0.22953796,-0.018470764
0.000254,0.22885132,-0.024818421
0.000255,0.21670532,-0.017585755
0.000256,0.20932007,0.027221679
0.000257,0.21539307,0.083274841
0.000258,0.22279358,0.11430359
0.000259,0.22634888,0.1213913
0.00026,0.22764587,0.1153717
0.000261,0.22250366,0.10732269
0.000262,0.21878052,0.12281036
0.000263,0.22792053,0.13504791
0.000264,0.23120117,0.1179657
0.000265,0.22692871,0.09854126
0.000266,0.23358154,0.083625793
0.000267,0.23931885,0.048934936
0.000268,0.23666382,0.00084686258
0.000269,0.22766113,-0.034416199
0.00027,0.21937561,-0.035713196
0.000271,0.2217102,-0.015335083
0.000272,0.23132324,-0.01071167
0.000273,0.22972107,-0.028198242
0.000274,0.22460937,-0.038154602
0.000275,0.22010803,-0.032539368
0.000276,0.21531677,-0.012268067
0.000277,0.21429443,0.0206604
0.000278,0.2117157,0.056640625
0.000279,0.21179199,0.094223022
0.00028,0.21859741,0.12254333
