MEphisto Scope parameters
Amplitude Channel 1,1
Amplitude Channel 2,10
Offset Channel 1,-0
Offset Channel 2,-0
Probe Channel 1,1
Probe Channel 2,1
Sampling Rate,0.0001
Trigger Point [%],50
Trigger Channel,1
Trigger mode,Manual
Trigger Upper Level,-3.0518E-005
Trigger Lower Level,-3.0518E-005
Memory Depth,1000
Start Time,System.DateTime (10/03/2021 13:53:10)

Data:
Time,Channel 1,Channel 2
-0,0.1579895,0.3894043
0.0001,0.088867187,0.66467285
0.0002,0.075164795,0.18127441
0.0003,0.15159607,-0.17089844
0.0004,0.16023254,0.41259766
0.0005,0.081375122,0.75515747
0.0006,0.081817627,0.065917969
0.0007,0.16165161,-0.13687134
0.0008,0.15362549,0.51498413
0.0009,0.075500488,0.72723389
0.001,0.087860107,0.12115478
0.0011,0.16394043,0.034942627
0.0012,0.15084839,0.55633545
0.0013,0.077789306,0.6010437
0.0014,0.087554931,0.12237549
0.0015,0.16357422,0.066833496
0.0016,0.1524353,0.35385132
0.0017,0.080734253,0.66375732
0.0018,0.087265014,0.13061523
0.0019,0.16537476,0.050659179
0.002,0.15335083,0.4989624
0.0021,0.075576782,0.68344116
0.0022,0.089233398,0.1109314
0.0023,0.17303467,0.038757324
0.0024,0.15315247,0.6590271
0.0025,0.074600219,0.7321167
0.0026,0.09866333,-0.056762696
0.0027,0.17523193,0.17242432
0.0028,0.14976501,0.66680908
0.0029,0.078155517,0.58364868
0.003,0.099090576,-0.064544678
0.0031,0.1693573,0.12832642
0.0032,0.15376282,0.6678772
0.0033,0.08102417,0.57006836
0.0034,0.099121093,0.034790039
0.0035,0.17289734,0.11688232
0.0036,0.15133667,0.67199707
0.0037,0.077194213,0.58990478
0.0038,0.10643005,-0.02822876
0.0039,0.17909241,0.16693115
0.004,0.1461029,0.77804565
0.0041,0.074691772,0.66375732
0.0042,0.11373901,-0.072937012
0.0043,0.17996216,0.21057129
0.0044,0.14016724,0.78292847
0.0045,0.078216552,0.58242798
0.0046,0.12289429,-0.17547607
0.0047,0.17723083,0.17791748
0.0048,0.13777161,0.7321167
0.0049,0.079620361,0.36514282
0.005,0.12789917,-0.12084961
0.0051,0.18144226,0.28778076
0.0052,0.13250732,0.8895874
0.0053,0.078582763,0.5758667
0.0054,0.13894653,-0.021362305
0.0055,0.17961121,0.54534912
0.0056,0.12063599,0.85723877
0.0057,0.082336425,0.3414917
0.0058,0.1479187,-0.16662598
0.0059,0.17709351,0.27633667
0.006,0.11730957,0.74798584
0.0061,0.088989257,0.26107788
0.0062,0.15341186,-0.14678955
0.0063,0.17658997,0.38574219
0.0064,0.11506653,0.84609985
0.0065,0.090881347,0.32012939
0.0066,0.15737915,-0.097045899
0.0067,0.17904663,0.42694092
0.0068,0.11058044,0.75332642
0.0069,0.093917846,0.24780273
0.007,0.16696167,-0.12542725
0.0071,0.17686462,0.47393799
0.0072,0.10321045,0.93963623
0.0073,0.098175048,0.19805908
0.0074,0.17433166,-0.12786865
0.0075,0.17315674,0.59616089
0.0076,0.10241699,0.69610596
0.0077,0.10270691,0.18341064
0.0078,0.17605591,-0.043945313
0.0079,0.16911316,0.52825928
0.008,0.10702515,0.74783325
0.0081,0.10774231,0.20141602
0.0082,0.17486572,-0.028686524
0.0083,0.17829895,0.50201416
0.0084,0.10528564,0.75622559
0.0085,0.10269165,0.29907227
0.0086,0.18118286,-0.087585449
0.0087,0.17825317,0.62286377
0.0088,0.097930908,0.7421875
0.0089,0.10734558,0.11062622
0.009,0.1905365,0.075988769
0.0091,0.17443848,0.65292358
0.0092,0.096954345,0.77926636
0.0093,0.11264038,0.20095825
0.0094,0.19332886,0.028991699
0.0095,0.17654419,0.60394287
0.0096,0.10122681,0.67687988
0.0097,0.11135864,0.15594482
0.0098,0.19235229,0.047454834
0.0099,0.18209839,0.59967041
0.01,0.099700927,0.73883057
0.0101,0.11160278,0.22003174
0.0102,0.19497681,0.046234131
0.0103,0.18167114,0.65551758
0.0104,0.094329834,0.73516846
0.0105,0.11483765,0.11886597
0.0106,0.20147705,0.048522949
0.0107,0.17477417,0.73608398
0.0108,0.091308593,0.65643311
0.0109,0.12496948,0.038757324
0.011,0.20271301,0.1663208
0.0111,0.16894531,0.77346802
0.0112,0.096038818,0.61279297
0.0113,0.12966919,0.0077819822
0.0114,0.20095825,0.19805908
0.0115,0.16737366,0.91171265
0.0116,0.096298217,0.54321289
0.0117,0.13850403,-0.059509278
0.0118,0.20227051,0.18005371
0.0119,0.15945435,0.90316772
0.012,0.09739685,0.54748535
0.0121,0.15124512,-0.090484619
0.0122,0.20301819,0.33477783
0.0123,0.15042114,0.86547852
0.0124,0.10487366,0.40557861
0.0125,0.16127014,-0.092315674
0.0126,0.19900513,0.32592773
0.0127,0.14370727,0.87203979
0.0128,0.1113739,0.39459228
0.0129,0.16461182,0.031738281
0.013,0.19656372,0.37857056
0.0131,0.14512634,0.81161499
0.0132,0.11143494,0.38208008
0.0133,0.17071533,-0.068054199
0.0134,0.19921875,0.41748047
0.0135,0.1368866,0.97091675
0.0136,0.11456299,0.23529053
0.0137,0.18191528,-0.094299317
0.0138,0.19677734,0.5255127
0.0139,0.12754822,0.84136963
0.014,0.12155151,0.26092529
0.0141,0.18731689,-0.036773682
0.0142,0.19052124,0.52597046
0.0143,0.13241577,0.80566406
0.0144,0.12698364,0.25680542
0.0145,0.19168091,0.083618164
0.0146,0.19882202,0.43609619
0.0147,0.13285828,0.67611694
0.0148,0.12405395,0.3163147
0.0149,0.19413757,-0.0082397463
0.015,0.2007904,0.52947998
0.0151,0.1309967,0.81161499
0.0152,0.12380981,0.2545166
0.0153,0.20393372,-0.08392334
0.0154,0.20053101,0.53359985
0.0155,0.11787415,0.80047607
0.0156,0.12815857,0.13031006
0.0157,0.20803833,-0.04486084
0.0158,0.19566345,0.65673828
0.0159,0.12245178,0.79498291
0.016,0.13122559,0.17929077
0.0161,0.20602417,0.036926269
0.0162,0.1980896,0.61950684
0.0163,0.12287903,0.78582764
0.0164,0.12728882,0.14831543
0.0165,0.21170044,0.027923584
0.0166,0.20419311,0.52520752
0.0167,0.11927795,0.79711914
0.0168,0.13075256,-0.042877197
0.0169,0.21815491,-0.095672608
0.017,0.20426941,0.65246582
0.0171,0.11732483,0.65612793
0.0172,0.13699341,-0.023040772
0.0173,0.22515869,0.056457519
0.0174,0.19641113,0.67443848
0.0175,0.11657715,0.68908691
0.0176,0.14309692,-0.1524353
0.0177,0.22344971,0.12863159
0.0178,0.19438171,0.79391479
0.0179,0.11729431,0.63262939
0.018,0.14816284,0.029602051
0.0181,0.22097778,0.23574829
0.0182,0.19290161,0.90682983
0.0183,0.11552429,0.6602478
0.0184,0.15486145,-0.026855469
0.0185,0.22351074,0.20355225
0.0186,0.18299866,0.77453613
0.0187,0.11662292,0.43518066
0.0188,0.16873169,-0.16906738
0.0189,0.22369385,0.22796631
0.019,0.17330933,0.86074829
0.0191,0.12304687,0.39901733
0.0192,0.17556763,-0.099487305
0.0193,0.21913147,0.37597656
0.0194,0.17100525,0.85128784
0.0195,0.12643433,0.48873901
0.0196,0.17660522,-0.096893311
0.0197,0.21861267,0.42358398
0.0198,0.16876221,0.88363647
0.0199,0.12944031,0.38543701
0.02,0.19143677,-0.091400147
0.0201,0.21800232,0.39916992
0.0202,0.16191101,0.84136963
0.0203,0.13235474,0.29174805
0.0204,0.19778442,-0.10650635
0.0205,0.21522522,0.50857544
0.0206,0.15246582,0.63781738
0.0207,0.14021301,0.30517578
0.0208,0.20098877,-0.02029419
0.0209,0.21511841,0.49591064
0.021,0.15602112,0.79177856
0.0211,0.14547729,0.32196045
0.0212,0.20245361,-0.048522949
0.0213,0.21417236,0.45333862
0.0214,0.15188599,0.80688477
0.0215,0.13978577,0.31036377
0.0216,0.20932007,-0.0065612795
0.0217,0.21994019,0.50079346
0.0218,0.14660644,0.77285767
0.0219,0.14401245,0.19119263
0.022,0.21832275,-0.053405762
0.0221,0.21611023,0.53924561
0.0222,0.14190674,0.80200195
0.0223,0.14929199,0.19134521
0.0224,0.22550964,0.017700195
0.0225,0.21443176,0.6022644
0.0226,0.14233398,0.72967529
0.0227,0.15000915,0.18875122
0.0228,0.22563171,-0.000305176
0.0229,0.21766663,0.56915283
0.023,0.14108276,0.74264526
0.0231,0.14431763,0.12481689
0.0232,0.2278595,-0.057525635
0.0233,0.22164917,0.56381226
0.0234,0.13375854,0.72235107
0.0235,0.14987183,-0.05279541
0.0236,0.23693848,-0.030517578
0.0237,0.21830749,0.68710327
0.0238,0.12971497,0.66375732
0.0239,0.15678406,0.046386719
0.024,0.24156189,0.069274902
0.0241,0.21340942,0.68084717
0.0242,0.13212585,0.63934326
0.0243,0.16467285,-0.022583008
0.0244,0.23867798,0.065765381
0.0245,0.2122345,0.68359375
0.0246,0.13661194,0.6451416
0.0247,0.16706848,0.025787353
0.0248,0.23953247,-0.11444092
0.0249,0.20983887,0.63934326
0.025,0.13282776,0.51147461
0.0251,0.17404175,-0.12893677
0.0252,0.23849487,0.20965576
0.0253,0.19807434,0.91842651
0.0254,0.13627624,0.52764893
0.0255,0.17974853,-0.1071167
0.0256,0.23796082,0.28961182
0.0257,0.1968689,0.71838379
0.0258,0.13948059,0.35751343
0.0259,0.18862915,-0.068359375
0.026,0.23634338,0.092468261
0.0261,0.18972778,0.63446045
0.0262,0.14096069,0.31829834
0.0263,0.18974304,-0.22735596
0.0264,0.23449707,0.13702393
0.0265,0.18882751,0.69168091
0.0266,0.14352417,0.32745361
0.0267,0.19876099,-0.17913818
0.0268,0.23440552,0.21820068
0.0269,0.17858887,0.69946289
0.027,0.1502533,0.18737793
0.0271,0.20622253,-0.19775391
0.0272,0.22924805,0.2482605
0.0273,0.17800903,0.66619873
0.0274,0.15580749,0.20187378
0.0275,0.20785522,-0.15045166
0.0276,0.22897339,0.36483765
0.0277,0.17977905,0.65658569
0.0278,0.15319824,0.13580322
0.0279,0.20663452,-0.20385742
0.028,0.23196411,0.24993896
0.0281,0.17660522,0.65917969
0.0282,0.15338135,0.12451172
0.0283,0.2192688,-0.2671814
0.0284,0.23278809,0.31005859
0.0285,0.16415405,0.78903198
0.0286,0.15362549,0.087585449
0.0287,0.22634888,-0.21759033
0.0288,0.23022461,0.38116455
0.0289,0.15982056,0.69625854
0.029,0.15823364,0.11871338
0.0291,0.22810364,-0.18478394
0.0292,0.23023987,0.35751343
0.0293,0.16555786,0.67749023
0.0294,0.15725708,-0.023956299
0.0295,0.22906494,-0.20080566
0.0296,0.23982239,0.32699585
0.0297,0.15859985,0.63690186
0.0298,0.14970398,0.055541992
0.0299,0.24143982,-0.28564453
0.03,0.2384491,0.41015625
0.0301,0.14924622,0.6463623
0.0302,0.15655518,-0.048522949
0.0303,0.24768066,-0.20187378
0.0304,0.23371887,0.4788208
0.0305,0.14335632,0.61447144
0.0306,0.16287231,-0.0097656252
0.0307,0.24842834,-0.22140503
0.0308,0.22589111,0.46310425
0.0309,0.14450073,0.50750732
0.031,0.16516113,-0.10757446
0.0311,0.24902344,-0.14663696
0.0312,0.22900391,0.46707153
0.0313,0.14309692,0.49682617
0.0314,0.16716003,-0.17944336
0.0315,0.2507782,-0.021667481
0.0316,0.2237854,0.47470093
0.0317,0.14004517,0.42404175
0.0318,0.17982483,-0.23376465
0.0319,0.25073242,-0.036010742
0.032,0.21490478,0.59463501
0.0321,0.14651489,0.33203125
0.0322,0.18313599,-0.24291992
0.0323,0.24636841,-0.095672608
0.0324,0.20979309,0.5406189
0.0325,0.14920044,0.27694702
0.0326,0.18733215,-0.2947998
0.0327,0.2454071,0.02166748
0.0328,0.20758057,0.53329468
0.0329,0.150177,0.25131226
0.033,0.1946106,-0.32302856
0.0331,0.24519348,0.065765381
0.0332,0.20056152,0.57174683
0.0333,0.15104675,0.2684021
0.0334,0.20120239,-0.37765503
0.0335,0.24134827,0.19775391
0.0336,0.19332886,0.38696289
0.0337,0.15629578,0.1008606
0.0338,0.20658874,-0.16052246
0.0339,0.23483276,0.14038086
0.034,0.1904602,0.4624939
0.0341,0.15847778,0.10284424
0.0342,0.20651245,-0.31799316
0.0343,0.23760986,0.082702636
0.0344,0.19052124,0.55450439
0.0345,0.15600586,0.17654419
0.0346,0.21017456,-0.5329895
0.0347,0.24378967,0.13671875
0.0348,0.18492126,0.58181763
0.0349,0.1570282,0.039520263
0.035,0.22041321,-0.38314819
0.0351,0.23883057,0.15869141
0.0352,0.17410278,0.43151855
0.0353,0.16207886,-0.058288574
0.0354,0.2253418,-0.37246704
0.0355,0.23446655,0.12878418
0.0356,0.17337036,0.44540405
0.0357,0.16345215,-0.054931641
0.0358,0.22619629,-0.39627075
0.0359,0.24006653,0.16860962
0.036,0.16958618,0.54611206
0.0361,0.15567017,-0.013580322
0.0362,0.23054504,-0.37765503
0.0363,0.24145508,0.2494812
0.0364,0.16371155,0.56442261
0.0365,0.1587677,-0.14190674
0.0366,0.24472046,-0.50262451
0.0367,0.24211121,0.20401001
0.0368,0.15159607,0.43136597
0.0369,0.16061401,-0.2796936
0.037,0.25192261,-0.44433594
0.0371,0.23580933,0.21957397
0.0372,0.14952087,0.35125732
0.0373,0.16506958,-0.2772522
0.0374,0.25054932,-0.39520264
0.0375,0.23330688,0.31402588
0.0376,0.14976501,0.31860352
0.0377,0.16542053,-0.28808594
0.0378,0.25045776,-0.29708862
0.0379,0.23252869,0.33416748
0.038,0.1456604,0.37078857
0.0381,0.16891479,-0.29327393
0.0382,0.25450134,-0.25787354
0.0383,0.22805786,0.47821045
0.0384,0.13969421,0.29129028
0.0385,0.17575073,-0.39733887
0.0386,0.2539978,-0.27374268
0.0387,0.21788025,0.27954102
0.0388,0.144104,0.12298584
0.0389,0.18049622,-0.46112061
0.039,0.24713135,-0.22262573
0.0391,0.21658325,0.33477783
0.0392,0.14581299,0.17959595
0.0393,0.1867981,-0.31005859
0.0394,0.24664307,-0.16220093
0.0395,0.21096802,0.47393799
0.0396,0.14822388,0.15808105
0.0397,0.18685913,-0.37994385
0.0398,0.24526977,-0.077514649
0.0399,0.2041626,0.42160034
0.04,0.15364075,0.048522949
0.0401,0.19642639,-0.46081543
0.0402,0.24172974,-0.084533692
0.0403,0.19763184,0.34759521
0.0404,0.15362549,-0.011444092
0.0405,0.19998169,-0.34835815
0.0406,0.23762512,-0.1751709
0.0407,0.19723511,0.37475586
0.0408,0.15386963,-0.050506592
0.0409,0.19799805,-0.48217773
0.041,0.23770142,-0.055084229
0.0411,0.19108582,0.29205322
0.0412,0.15023804,0.019226074
