MEphisto Scope parameters
Amplitude Channel 1,1
Amplitude Channel 2,0.5
Offset Channel 1,-0
Offset Channel 2,-0
Probe Channel 1,1
Probe Channel 2,1
Sampling Rate,0.001
Trigger Point [%],50
Trigger Channel,1
Trigger mode,Manual
Trigger Upper Level,-3.0518E-005
Trigger Lower Level,-3.0518E-005
Memory Depth,1000
Start Time,System.DateTime (12/03/2021 11:54:34)

Data:
Time,Channel 1,Channel 2
-0,0.065109253,-0.080726624
0.001,0.15988159,-0.050590515
0.002,0.0647583,-0.024597168
0.003,0.16357422,-0.016998291
0.004,0.069885253,-0.0027770998
0.005,0.150177,0.025474548
0.006,0.078765869,0.0090484617
0.007,0.13534546,0.0046386717
0.008,0.088943481,0.024665832
0.009,0.12600708,-0.025405884
0.01,0.12214661,-0.032333374
0.011,0.089508056,-0.033805847
0.012,0.1513977,-0.032775879
0.013,0.068191528,-0.024589539
0.014,0.16091919,-0.030952454
0.015,0.062789917,-0.039993286
0.016,0.15945435,-0.034378052
0.017,0.064804077,-0.034973145
0.018,0.15202332,-0.045333863
0.019,0.079620361,-0.05393219
0.02,0.1435852,-0.068069458
0.021,0.084762573,-0.049629212
0.022,0.12608337,-0.01538086
0.023,0.1171875,-0.014579773
0.024,0.094894409,0.00083923319
0.025,0.15365601,0.038597107
0.026,0.070922851,0.011924743
0.027,0.1539917,0.0069580076
0.028,0.060211181,0.035140991
0.029,0.16297913,-0.022636414
0.03,0.064926147,-0.021987915
0.031,0.15606689,-0.022567749
0.032,0.076751709,-0.027893067
0.033,0.14309692,-0.01171875
0.034,0.076568603,-0.018310547
0.035,0.13525391,-0.033370972
0.036,0.10603332,-0.025360108
0.037,0.10397339,-0.025115967
0.038,0.14018249,-0.039970398
0.039,0.080535888,-0.037086487
0.04,0.15603638,-0.060272217
0.041,0.06135559,-0.039962769
0.042,0.16113281,-0.0027542116
0.043,0.061798095,0.003097534
0.044,0.15371704,0.010780334
0.045,0.078399658,0.04699707
0.046,0.14596558,0.03326416
0.047,0.078643798,0.014801025
0.048,0.1350708,0.046035766
0.049,0.099746704,-0.0065307619
0.05,0.1060791,-0.019897461
0.051,0.1381073,-0.0131073
0.052,0.083572387,-0.0090332033
0.053,0.15338135,-0.011154175
0.054,0.062332153,-0.0025405886
0.055,0.1607666,-0.019897461
0.056,0.059051513,-0.024330139
0.057,0.15733337,-0.011642456
0.058,0.075988769,-0.026916504
0.059,0.14955139,-0.037338257
0.06,0.076248169,-0.048751831
0.061,0.1436615,-0.030288697
0.062,0.097991943,-0.0018386843
0.063,0.1076355,0.012313843
0.064,0.13259888,0.015068054
0.065,0.084625244,0.05191803
0.066,0.15745544,0.042793274
0.067,0.065216064,0.01902771
0.068,0.16467285,0.054595947
0.069,0.055206298,0.004508972
0.07,0.1539917,-0.018417359
0.071,0.07635498,-0.0098876955
0.072,0.15484619,-0.0012512209
0.073,0.077194213,-0.009162903
0.074,0.14459228,-0.00064849875
0.075,0.087005615,-0.0093307497
0.076,0.11325073,-0.01689148
0.077,0.12461853,-0.0027923586
0.078,0.09475708,-0.015960694
0.079,0.14901733,-0.033340454
0.08,0.069244384,-0.032455445
0.081,0.16566467,-0.021499634
0.082,0.058898925,0.0083312986
0.083,0.15771484,0.026626587
0.084,0.075988769,0.028640747
0.085,0.15289307,0.057113647
0.086,0.078582763,0.054702759
0.087,0.15005493,0.036117554
0.088,0.090118408,0.055160522
0.089,0.11911011,0.01977539
0.09,0.11941528,-0.00035095236
0.091,0.095092773,0.00017547586
0.092,0.14590454,0.007797241
0.093,0.075790405,0.0099487303
0.094,0.1670227,0.0065155027
0.095,0.056182861,0.0020675657
0.096,0.15684509,-0.0031509402
0.097,0.069396972,-0.0017623903
0.098,0.15460205,-0.0029144289
0.099,0.079742431,-0.019569397
0.1,0.15571594,-0.030723572
0.101,0.084579467,-0.0098724367
0.102,0.1242218,0.0205307
0.103,0.11993408,0.028335571
0.104,0.09664917,0.041305542
0.105,0.14802551,0.067855835
0.106,0.074615478,0.058471679
0.107,0.16874695,0.043762207
0.108,0.061065673,0.054702759
0.109,0.16134644,0.016357422
0.11,0.071807861,0.0088195799
0.111,0.15249634,0.0037078855
0.112,0.077957153,0.020767212
0.113,0.15939331,0.017730713
0.114,0.086837768,0.0099105833
0.115,0.13450623,0.013244629
0.116,0.11178589,0.0049819944
0.117,0.1008606,0.0031280515
0.118,0.1381073,0.010253906
0.119,0.082092285,-0.0066452028
0.12,0.16938782,-0.027938843
0.121,0.065826416,-0.0024566653
0.122,0.16589355,0.030151367
0.123,0.07156372,0.03276062
0.124,0.15483093,0.05141449
0.125,0.080047607,0.076965332
0.126,0.16438293,0.063598633
0.127,0.083801269,0.057846069
0.128,0.14018249,0.07460022
0.129,0.11129761,0.023086548
0.13,0.11164856,0.020217895
0.131,0.13116455,0.018920898
0.132,0.089477539,0.021621704
0.133,0.16436768,0.025238037
0.134,0.071792602,0.026992798
0.135,0.17304993,0.012069702
0.136,0.073303222,0.016418457
0.137,0.15544128,0.021377563
0.138,0.074554443,0.0057907102
0.139,0.16438293,0.0012054441
0.14,0.08605957,-0.01399231
0.141,0.150177,0.0016708372
0.142,0.10549927,0.039138794
0.143,0.11521912,0.048950195
0.144,0.13040161,0.051933288
0.145,0.091232299,0.091583252
0.146,0.16711426,0.072334289
0.147,0.072982788,0.058532715
0.148,0.17593384,0.081581116
0.149,0.073699951,0.022727966
0.15,0.16116333,0.021781921
0.151,0.077529907,0.029159546
0.152,0.16215515,0.02117157
0.153,0.08493042,0.029022217
0.154,0.15383911,0.03553772
0.155,0.11000061,0.013504028
0.156,0.12521362,0.028945923
0.157,0.12594604,0.026382446
0.158,0.10055542,0.012023926
0.159,0.15800476,0.0033798216
0.16,0.070358276,-0.0024948122
0.161,0.1791687,0.0055084226
0.162,0.077133178,0.049957275
0.163,0.16261291,0.055007934
0.164,0.078048706,0.055854797
0.165,0.16337585,0.096176147
0.166,0.084259033,0.078155517
0.167,0.15646362,0.061805725
0.168,0.10787964,0.089469909
0.169,0.13772583,0.046005249
0.17,0.12271118,0.025382995
0.171,0.11245727,0.038497925
0.172,0.15385437,0.035453796
